Strategy,Tier,Ticker,Signal Date,rows,pnl,risk,gap_atr,size_mult,any_eodd,all_tgt,all_time,far_time,far_R,entry,R,year,era,path_gap,path_size,exit_pos,rank_2d,rank_5d,rank_10d,rank_21d,extremity,cell,sector,semis,megacap_tech,theme
Overbot Vol Spike,Overflow,B,2006-05-04,2,-1866.0,3375.0,0.27295830440275487,0.75,False,False,True,True,-0.552997084793552,2006-05-05,-0.5528888888888889,2006,pre,P1,P1,Time,97.04588309239472,99.43324937027708,96.58875552747946,97.83715012722645,97.72625952934442,top,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,FTI,2006-05-09,2,1352.0,3375.0,0.26321859491744526,0.75,False,False,True,True,0.4006129905704577,2006-05-10,0.4005925925925926,2006,pre,P1,P1,Time,99.7557003257329,99.59183673469387,99.59016393442623,99.75186104218362,99.67239050925916,top,Energy,False,False,False
Overbot Vol Spike,Overflow,PRMB,2006-08-09,2,833.0,675.0,0.09695226319438395,0.15,False,False,False,True,1.390456754251412,2006-08-10,1.234074074074074,2006,pre,P2,P2,Mixed,93.66706875753921,92.38670694864048,97.63636363636363,95.30201342281879,94.74803819134053,top,Consumer Defensive,False,False,False
Overbot Vol Spike,Overflow,EAT,2006-09-12,2,2437.0,3375.0,0.3909953868139071,0.75,False,False,True,True,0.7221267434396701,2006-09-13,0.7220740740740741,2006,pre,P1,P1,Time,91.07674003569304,90.40524433849822,96.17453676031081,94.28399518652226,92.98512908025609,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Liquid,BMY,2006-09-12,2,-538.0,3375.0,0.3595150610531706,0.75,False,False,True,True,-0.1594498016487575,2006-09-13,-0.15940740740740741,2006,pre,P1,P1,Time,96.54967281380131,94.99404052443386,98.26658696951583,98.97713598074608,97.19685907212427,top,Healthcare,False,False,False
Overbot Vol Spike,Overflow,HAS,2006-09-13,2,247.0,675.0,0.02748625601689399,0.15,False,False,True,True,0.36452205188837133,2006-09-14,0.36592592592592593,2006,pre,P2,P2,Time,86.74197384066588,94.28231089934485,90.62126642771804,94.2273000601323,91.46821280696525,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,CAR,2007-02-01,2,-605.0,900.0,3.5711707547643886e-06,0.2,False,False,True,True,-0.6731493910295842,2007-02-02,-0.6722222222222223,2007,pre,P2,P2,Time,87.96400449943758,92.0,86.55367231638418,95.05400795906766,90.39292119372234,bottom,Industrials,False,False,False
Overbot Vol Spike,Liquid,PSA,2007-02-06,2,1439.0,900.0,0.060507649481185366,0.2,False,True,False,False,1.9994885788811576,2007-02-07,1.5988888888888888,2007,pre,P2,P2,Target,86.35597978663671,89.87626546681665,97.63113367174282,99.37570942111236,93.30977208657714,bottom,Real Estate,False,False,False
Overbot Vol Spike,Overflow,CCJ,2007-04-05,2,1088.0,900.0,0.05508055066159715,0.2,False,False,False,True,1.3475971644808291,2007-04-09,1.208888888888889,2007,pre,P2,P2,Mixed,93.68825466520308,99.01044529961517,98.51157662624036,96.28397115917915,96.87356193755943,top,Energy,False,False,False
Overbot Vol Spike,Overflow,CP,2007-05-17,2,595.0,900.0,0.10455943596333267,0.2,False,False,True,True,0.6608945909469017,2007-05-18,0.6611111111111111,2007,pre,P2,P2,Time,95.51593733117234,95.508658008658,93.21758003255562,95.36026200873363,94.9006093452799,top,Industrials,False,False,False
Overbot Vol Spike,Overflow,IMO,2007-05-21,2,1094.0,900.0,2.9798556437312973e-05,0.2,False,False,False,True,1.3596045294925618,2007-05-22,1.2155555555555555,2007,pre,P2,P2,Mixed,97.24770642201835,99.94594594594595,99.83739837398375,99.23664122137404,99.06692299083053,top,Energy,False,False,False
Overbot Vol Spike,Overflow,JEF,2007-05-31,2,392.0,900.0,0.06007040030502664,0.2,False,False,False,True,0.0593457550862193,2007-06-01,0.43555555555555553,2007,pre,P2,P2,Mixed,90.32258064516128,89.49919224555735,87.41900647948164,98.53340575774035,91.44354628198516,bottom,Financial Services,False,False,False
Overbot Vol Spike,Overflow,GLNG,2007-07-06,2,-1359.0,900.0,0.054681040003545955,0.2,False,False,True,True,-1.5097940461070323,2007-07-09,-1.51,2007,pre,P2,P2,Time,96.8,99.49849548645938,97.98387096774194,96.3302752293578,97.65316042088978,top,Energy,False,False,False
