strategy,dim,cell,N,n_years,avgR,sdR,win,R_per_risk,sum_pnl,avgR_rest,sdR_rest,R_per_risk_rest,flow_ratio,sig_share,sess_share,t_episode,p_episode,n_episodes,t_year,p_year,n_years_paired,worst_R,pnl_share,q_p_episode_fam_dim,bonf_p_episode_fam_dim,q_p_year_fam_dim,bonf_p_year_fam_dim,q_p_episode_fam_strat,bonf_p_episode_fam_strat,q_p_year_fam_strat,bonf_p_year_fam_strat,survives_fdr10_year,survives_bonf05_year,survives_fdr10_episode,survives_fdr10_strat_year
Sector BO,wom,W4+,25,12,0.08000000000000003,2.7861603745875456,0.16,0.08,5625.0,1.231037037037037,3.5631998815470283,1.231037037037037,1.2039672656111011,0.3424657534246575,0.28444772811230146,-1.2511458671070963,0.2260682739750391,20,-1.3571316675715581,0.2045790030195742,11,-1.4016,0.03273870151034543,0.6891788219173139,1.0,0.6428243243978917,1.0,0.3234242575564602,0.9042730959001564,0.497423681114238,0.8183160120782969,False,False,False,False
Sector BO,tom,TOM,20,11,-0.616711111111111,1.355866794448665,0.1,-0.6167111111111111,-34690.0,1.3853584905660377,3.6994864808042127,1.3853584905660377,1.1498354040564935,0.273972602739726,0.23827114887329146,-3.018659213859791,0.00863811268863531,16,-1.6395430076471234,0.13552176999724713,10,-1.4016,-0.2019032098478014,0.12957169032952964,0.2591433806590593,0.474326194990365,1.0,0.00863811268863531,0.01727622537727062,0.13552176999724713,0.27104353999449426,False,False,False,False
Sector BO,tom,mid,53,18,1.3853584905660377,3.6994864808042127,0.32075471698113206,1.3853584905660377,206505.0,-0.616711111111111,1.355866794448665,-0.6167111111111111,0.9531310205545886,0.726027397260274,0.7617288511267085,3.0186592138597907,0.004213258493651766,45,1.6395430076471234,0.13552176999724713,10,-1.3358222222222222,1.2019032098478015,0.12639775480955298,0.12639775480955298,0.474326194990365,1.0,0.008426516987303533,0.008426516987303533,0.13552176999724713,0.27104353999449426,False,False,False,False
Sector BO,opex,opex,23,12,1.8715362318840578,3.886238862048763,0.391304347826087,1.871536231884058,121065.0,0.36088888888888887,2.9850000870110174,0.36088888888888887,1.3484433374844333,0.3150684931506849,0.23365349094939047,1.470803545698039,0.15690325736618288,21,1.5752793833237035,0.1496450939618254,10,-1.3358222222222222,0.7046241597066613,0.9006924948094847,1.0,0.8400772188344752,1.0,0.23535488604927432,0.47070977209854864,0.30002757815516967,0.4489352818854762,False,False,False,False
Sector BO,opex,other,36,16,-0.01926913580246909,2.509492504675036,0.16666666666666666,-0.019269135802469136,-1951.0,1.6698234234234233,3.845421364929091,1.6698234234234235,0.9140423855594584,0.4931506849315068,0.5395271518285926,-2.084258322010594,0.04546837480543965,32,-1.363370166100145,0.20001838543677977,12,-1.4016,-0.011355236737188254,0.9006924948094847,1.0,0.8400772188344752,1.0,0.13640512441631897,0.13640512441631897,0.30002757815516967,0.6000551563103393,False,False,False,False
Sector BO,opex,post_opex,14,9,1.3384380952380952,3.898772485336407,0.2857142857142857,1.3384380952380952,52701.0,0.7178244821092279,3.2239682054935215,0.7178244821092279,0.8455222881620632,0.1917808219178082,0.226819357222017,0.4758950105533291,0.6426957942137956,13,0.18475980676515918,0.8580153210451681,9,-1.0332444444444444,0.30673107703052704,0.9452844676569588,1.0,0.9483327232604489,1.0,0.6426957942137956,1.0,0.8580153210451681,1.0,False,False,False,False
Sector BO,dow,Mon,12,8,-1.0612740740740743,0.07638493651238279,0.0,-1.061274074074074,-35818.0,1.2102469945355188,3.5426223044707026,1.2102469945355192,0.8776850125638324,0.1643835616438356,0.18729220539342445,-4.452571533502529,0.0015942633209748219,10,-1.8084982503808973,0.12052544269789252,7,-1.2352,-0.20846841079067602,0.11000416914726271,0.11000416914726271,0.7265088762610407,1.0,0.00797131660487411,0.00797131660487411,0.3013136067447313,0.6026272134894626,False,False,False,False
Sector BO,dow,Tue,12,7,2.658044444444444,3.9641338252186222,0.5,2.6580444444444447,89709.0,0.47857777777777766,3.120697511901806,0.47857777777777777,0.8003350744062284,0.1643835616438356,0.20539342445511635,1.8056414914453294,0.098384966671136,12,2.83139960219145,0.0299027379745858,7,-1.0264888888888888,0.5221255420073917,0.7357550869573407,1.0,0.563992240193386,1.0,0.24596241667784,0.49192483335568,0.149513689872929,0.149513689872929,False,False,False,False
Sector BO,dow,Wed,16,12,0.2642888888888889,2.967462559040744,0.1875,0.2642888888888889,11893.0,0.9975641325536061,3.4486255232392393,0.9975641325536062,1.0671134325416378,0.2191780821917808,0.20539342445511635,-0.8878309437096107,0.38963029751553524,15,-1.366248998313024,0.201794983688418,11,-1.4016,0.06921980036667345,0.7819441864761855,1.0,0.807179934753672,1.0,0.48703787189441905,1.0,0.33632497281403,1.0,False,False,False,False
Sector BO,dow,Thu,21,14,1.6205714285714283,3.794502784058707,0.38095238095238093,1.6205714285714286,95715.0,0.5203418803418803,3.1271773163469905,0.5203418803418803,1.4275454214431902,0.2876712328767123,0.20151459179903952,1.0522208031983604,0.3058971397386856,20,0.22171429730330308,0.8289984144329903,11,-1.3358222222222222,0.5570817449000378,0.7819441864761855,1.0,0.9858651475917073,1.0,0.48703787189441905,1.0,0.8775494301989214,1.0,False,False,False,False
