label,days,armed_days,armed_share,n_episodes,hedge_total_usd,hedge_bps_per_armed_day,friction_usd,ep_mean_usd,ep_median_usd,ep_pos_share,t_clustered,sharpe_unhedged,sharpe_hedged,ann_unhedged_pct,ann_hedged_pct,vol_unhedged_pct,vol_hedged_pct,ann_hedged_equal_vol_pct,maxdd_unhedged_pct,maxdd_hedged_pct,worst_unhedged_pct,worst_hedged_pct,armed_sharpe_unhedged,armed_sharpe_hedged,armed_sd_unhedged_bps,armed_sd_hedged_bps,armed_spy_ann_pct,drift_component_usd,calm_carry_bps_per_day,calm_carry_usd_per_year,false_alarm_episodes,false_alarm_usd,loyo_years_with_arming,loyo_years_hedged_not_worse,loyo_years_hedge_pnl_pos,beta_mean_armed,vintage,target,instrument,window,arming,mult
live|subbook|IWM|126|vix25_h20,2527,586,0.23189552829442026,15,-101915.38791077881,-2.3188939228846137,431.355227451102,-6794.35919405192,-6207.867861210528,0.0,-3.2121121356441416,2.774985532961197,2.7184926397750795,35.815871867036016,34.46076421614476,12.906687779671694,12.676423585607338,35.08673573291246,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.596900285340472,3.383261449173571,3.17685656534181,105.92270303332134,101.21731697072995,48.82571795023978,-88507.13550557253,-0.31280273191780794,-5911.9716332465705,14,-92657.37530145161,9,2,0,0.10393727072969773,live,subbook,IWM,126,vix25_h20,1.0
live|subbook|IWM|126|vixpct80_h60,2527,706,0.27938266719430155,21,-92654.28837326709,-1.7498449173421549,771.0063867965524,-4412.108970155577,-3511.9229903335963,0.047619047619047616,-3.06577588428111,2.774985532961197,2.7303517997543967,35.815871867036016,34.58390348977373,12.906687779671694,12.666464260350867,35.23979820809468,-8.323155999999932,-8.071646254888076,-4.886210666666667,-4.886210666666667,3.5758464121186706,3.4498147292563277,95.30391766429987,90.733639253407,31.936097564175725,-84655.5370920783,-0.40371230749252807,-7630.162611608779,16,-93101.29478314487,10,3,1,0.12615605487825451,live,subbook,IWM,126,vixpct80_h60,1.0
live|subbook|IWM|126|spydd5_h3,2527,796,0.3149980213692125,14,-61484.633921864704,-1.029893365525372,400.05489278626976,-4391.75956584748,-3993.2367755033392,0.14285714285714285,-1.6546561931441226,2.774985532961197,2.7598606399268517,35.815871867036016,34.99834764868435,12.906687779671694,12.681201051373364,35.6206595949408,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.886210666666667,3.438032629346791,3.4173911963167978,86.47331188830843,82.21154716203255,18.723227712325752,-49327.42491442499,-0.6619349998319592,-12510.571496824028,11,-76818.4673435186,9,4,2,0.11120746335492442,live,subbook,IWM,126,spydd5_h3,1.0
live|subbook|IWM|126|always,2527,2527,1.0,1,-147036.7917441459,-0.7758173947719083,16.501361883315173,-147036.7917441459,-147036.7917441459,0.0,,2.774985532961197,2.749806736733534,35.815871867036016,33.860812032210795,12.906687779671694,12.313887947061215,35.490897005457605,-8.323155999999932,-8.539427613920347,-4.886210666666667,-4.596900285340472,2.774985532961197,2.749806736733534,81.30449074897075,77.57020281009444,13.12668607570231,-129480.20885843085,,,1,-147036.7917441459,11,5,1,0.13115423768559606,live,subbook,IWM,126,always,1.0
live|subbook|ADAPT|42|dial50_h45,2527,392,0.15512465373961218,10,24321.968464105077,0.827277838915139,591.4101570417164,2432.1968464105075,5276.6356721412985,0.5,0.5424221790688079,2.774985532961197,2.8282390716243904,35.815871867036016,36.13926646157258,12.906687779671694,12.778009760262632,36.50319866372454,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,1.8402397118732765,2.1468199674774153,80.58551003581582,75.19460726867653,-14.884010748937726,41289.997056253196,-2.4808368796322746,-46887.81702504999,4,-40451.72960663387,9,5,5,0.23778151363363476,live,subbook,ADAPT,42,dial50_h45,1.0
live|subbook|ADAPT|42|dial65_h60,2527,153,0.060546102097348634,7,31021.790065197016,2.7034239708232697,340.8159461613136,4431.684295028145,6680.623915709108,0.5714285714285714,1.3237081114239546,2.774985532961197,2.818512659334703,35.815871867036016,36.22834996208572,12.906687779671694,12.853711989584344,36.37766289708518,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.886210666666667,2.0446118373400926,2.80415524877005,78.19334523861804,72.31788056530074,-36.04611977934837,33886.74772189341,-2.267302627022351,-42852.01965072243,2,-8397.995830033982,6,4,4,0.20645205707841177,live,subbook,ADAPT,42,dial65_h60,1.0
live|subbook|ADAPT|42|dial50_nohyst,2527,349,0.13810842896715472,10,30957.76710989458,1.1827227167103942,625.7244951570012,3095.776710989458,1679.9104845306697,0.5,0.8419867422386961,2.774985532961197,2.832330914349238,35.815871867036016,36.22749868733377,12.906687779671694,12.790701292633907,36.55601080021766,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,2.0819696358825883,2.4763958486700206,81.51290744035079,76.11163594653884,-16.54395677614957,39080.87366984081,-2.4726912662076694,-46733.86493132495,4,-28833.13638318282,9,5,4,0.22742527455569955,live,subbook,ADAPT,42,dial50_nohyst,1.0
live|subbook|ADAPT|42|dial40_h35,2527,668,0.26434507320933914,13,19455.800638204342,0.38833933409589494,612.1318192091076,1496.6000490926415,2936.601341987233,0.5384615384615384,0.33446734031228775,2.774985532961197,2.827825110117142,35.815871867036016,36.07456395308416,12.906687779671694,12.756999654617884,36.497855791797676,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,2.4470898142397193,2.633870853446006,83.01956966711474,79.4727800928548,-13.13014046754688,58717.291710240715,-2.8144060189161535,-53192.27375751531,5,-47654.00653779383,10,5,5,0.2249362541299596,live,subbook,ADAPT,42,dial40_h35,1.0
live|subbook|ADAPT|42|vix25_h20,2527,586,0.23189552829442026,15,-136511.33814039646,-3.106060025947587,526.924731687246,-9100.755876026433,-5426.188017011151,0.0,-2.0806441617845093,2.774985532961197,2.6825861449850525,35.815871867036016,34.000762661845144,12.906687779671694,12.67462099042288,34.62330181539518,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.495424370290675,3.383261449173571,3.0530920214268695,105.92270303332134,101.22754940910075,44.36066932976246,-95632.75069204213,-1.6235357260605328,-30684.825222544066,13,-121873.49676574838,9,1,0,0.12360903576776339,live,subbook,ADAPT,42,vix25_h20,1.0
live|subbook|ADAPT|42|vixpct80_h60,2527,706,0.27938266719430155,21,-100876.86459899883,-1.9051343644758991,1084.7034893659375,-4803.660218999945,-2465.3749699017158,0.14285714285714285,-3.173212454283371,2.774985532961197,2.7245267308946675,35.815871867036016,34.4745728363568,12.906687779671694,12.653416993650197,35.16461586302707,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,3.5758464121186706,3.4320643552295,95.30391766429987,90.48463823592137,26.728297490626574,-76349.89701373174,-1.9955223548990542,-37715.372507592125,18,-94938.07306941932,10,3,2,0.13594765962477254,live,subbook,ADAPT,42,vixpct80_h60,1.0
