date,event,detail,ref_period,time_et,source
2021-06-04,nfp,Employment Situation release,May 2021,08:30,bls:sched2021
2021-06-10,cpi,Consumer Price Index release,May 2021,08:30,bls:sched2021
2021-06-15,ppi,Producer Price Index release,May 2021,08:30,bls:sched2021
2021-06-16,fomc_decision,June 15-16* Meeting - 2021,,14:00,fed:fomccalendars
2021-06-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-06-18,opex,quad witching,,16:00,computed
2021-06-18,quad_witching,quad witching,,16:00,computed
2021-07-02,nfp,Employment Situation release,June 2021,08:30,bls:sched2021
2021-07-07,fomc_minutes,minutes of 2021-06-16 meeting,,14:00,fed:fomccalendars
2021-07-13,cpi,Consumer Price Index release,June 2021,08:30,bls:sched2021
2021-07-14,ppi,Producer Price Index release,June 2021,08:30,bls:sched2021
2021-07-16,opex,monthly options expiration,,16:00,computed
2021-07-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-07-28,fomc_decision,July 27-28 Meeting - 2021,,14:00,fed:fomccalendars
2021-08-06,nfp,Employment Situation release,July 2021,08:30,bls:sched2021
2021-08-11,cpi,Consumer Price Index release,July 2021,08:30,bls:sched2021
2021-08-12,ppi,Producer Price Index release,July 2021,08:30,bls:sched2021
2021-08-18,fomc_minutes,minutes of 2021-07-28 meeting,,14:00,fed:fomccalendars
2021-08-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-08-20,opex,monthly options expiration,,16:00,computed
2021-08-27,jackson_hole,"Jackson Hole symposium Aug 27 (virtual), 2021",2021,10:00,manual:kcfed
2021-09-03,nfp,Employment Situation release,August 2021,08:30,bls:sched2021
2021-09-10,ppi,Producer Price Index release,August 2021,08:30,bls:sched2021
2021-09-14,cpi,Consumer Price Index release,August 2021,08:30,bls:sched2021
2021-09-15,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-09-17,opex,quad witching,,16:00,computed
2021-09-17,quad_witching,quad witching,,16:00,computed
2021-09-22,fomc_decision,September 21-22* Meeting - 2021,,14:00,fed:fomccalendars
2021-10-08,nfp,Employment Situation release,September 2021,08:30,bls:sched2021
2021-10-13,cpi,Consumer Price Index release,September 2021,08:30,bls:sched2021
2021-10-13,fomc_minutes,minutes of 2021-09-22 meeting,,14:00,fed:fomccalendars
2021-10-14,ppi,Producer Price Index release,September 2021,08:30,bls:sched2021
2021-10-15,opex,monthly options expiration,,16:00,computed
2021-10-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-11-03,fomc_decision,November 2-3 Meeting - 2021,,14:00,fed:fomccalendars
2021-11-05,nfp,Employment Situation release,October 2021,08:30,bls:sched2021
2021-11-09,ppi,Producer Price Index release,October 2021,08:30,bls:sched2021
2021-11-10,cpi,Consumer Price Index release,October 2021,08:30,bls:sched2021
2021-11-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-11-19,opex,monthly options expiration,,16:00,computed
2021-11-24,fomc_minutes,minutes of 2021-11-03 meeting,,14:00,fed:fomccalendars
2021-12-03,nfp,Employment Situation release,November 2021,08:30,bls:sched2021
2021-12-10,cpi,Consumer Price Index release,November 2021,08:30,bls:sched2021
2021-12-14,ppi,Producer Price Index release,November 2021,08:30,bls:sched2021
2021-12-15,fomc_decision,December 14-15* Meeting - 2021,,14:00,fed:fomccalendars
2021-12-17,opex,quad witching,,16:00,computed
2021-12-17,quad_witching,quad witching,,16:00,computed
2021-12-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
