Strategy,Ticker,Entry Date,Direction,tranches,shares,ledger_entry_px,ledger_exit_px,ledger_R,ATR,stop_atr,entry_side,exit_side,dir,entry_session,live_entry_px,live_entry_qty,live_exit_px,ambiguous,live_R,entry_slip_bps,exit_slip_bps,qty_ratio,diff
Overbot Vol Spike,FBIN,2026-06-30,Short,2,1393.0,53.56589303697859,52.91237258911133,0.2697881885327535,2.422345297677176,1.0,SELL,BUY,-1.0,2026-06-30,53.88,1385.0,53.3231191334,False,0.22989326382741773,-58.63935896757456,77.62769352232692,0.994256999282125,-0.03989492470533576
LT Trend ST OS,STLD,2026-07-01,Long,1,326.0,226.11000061035156,220.38999938964844,-0.5533510733791129,10.336995806012835,1.0,BUY,SELL,1.0,2026-07-01,226.64562130199997,338.0,220.55499999999998,False,-0.5892061307074526,23.68850073869235,-7.486755787853179,1.0368098159509203,-0.03585505732833971
LT Trend ST OS,WCC,2026-07-02,Long,1,244.0,317.2588985988072,316.989990234375,-0.01947983875480163,13.804371425083705,1.0,BUY,SELL,1.0,2026-07-02,317.26,254.0,317.631732283,False,0.026928591788291035,0.03471616391686814,-20.24486792628784,1.040983606557377,0.04640843054309267
Overbot Vol Spike,RLI,2026-07-01,Short,2,2418.0,60.52678530556814,61.779998779296875,-0.8979008719248658,1.395714351109096,1.0,SELL,BUY,-1.0,2026-07-01,60.53,2418.0,61.86776840353102,False,-0.9584829463621735,-0.531119307862108,14.206802519969294,1.0,-0.060582074437307676
Overbot Vol Spike,BRO,2026-07-02,Short,2,1764.0,69.6366457939148,68.55526335655696,0.5653652585111283,1.9127140045166016,1.0,SELL,BUY,-1.0,2026-07-02,69.8,1760.0,68.76641487170409,False,0.5403762014892175,-23.458080759466586,30.800190212809795,0.9977324263038548,-0.024989057021910788
Oversold Low Volume,GLNG,2026-06-18,Long,1,888.0,48.89554105486189,49.32173156738281,0.26912757999596015,1.2668805803571428,1.25,BUY,SELL,1.0,2026-06-18,49.13000000000001,1477.0,49.50033852400001,False,0.23385852131104345,47.950986957083536,-36.212628985497744,1.6632882882882882,-0.0352690586849167
Overbot Vol Spike,RLI,2026-07-02,Short,2,2403.0,62.26321336201259,62.119998931884766,0.10198389617421097,1.4042857033865792,1.0,SELL,BUY,-1.0,2026-07-02,62.26,1250.0,62.25536000027999,False,0.0033041707316507386,0.5160931855398271,21.79025607254947,0.5201831044527674,-0.09867972544256023
Overbot Vol Spike,ACIW,2026-07-02,Short,2,376.0,54.253571782793315,55.619998931884766,-0.7627581706464954,1.7914292471749442,1.0,SELL,BUY,-1.0,2026-07-02,54.21000000000001,377.0,55.77762334203713,False,-0.8750685211315159,8.031136266520697,28.33952052847051,1.002659574468085,-0.11231035048502047
Overbot Vol Spike,AJG,2026-07-02,Short,2,101.0,245.94054085867745,254.6699981689453,-1.3145337634181495,6.640712193080357,1.0,SELL,BUY,-1.0,2026-07-02,245.93999999999997,102.0,254.78800000000004,False,-1.3323872113023831,0.02199144051621733,4.633519138616623,1.00990099009901,-0.017853447884233598
Oversold Low Volume,OXY,2026-06-22,Long,1,788.0,51.320344652448384,51.68000030517578,0.14396133544175768,1.9986201695033483,1.25,BUY,SELL,1.0,2026-06-22,51.32,1334.0,51.83,False,0.20414083987823725,-0.06715707985156714,-29.024708579422065,1.6928934010152283,0.06017950443647957
Oversold Low Volume,OXY,2026-06-29,Long,1,1769.0,49.54507759639195,53.99431841714041,1.9999990976162005,1.779696328299386,1.25,BUY,SELL,1.0,2026-06-29,49.36192147531231,5043.0,53.61075933712589,False,1.909915885874135,-36.96757174782969,71.03693337719048,2.8507631430186544,-0.09008321174206557
Oversold Low Volume,OXY,2026-06-24,Long,1,1191.0,51.0,53.59000015258789,1.119754501660178,1.850405011858259,1.25,BUY,SELL,1.0,2026-06-24,51.0,1711.0,53.61075933712589,False,1.128729903083888,0.0,-3.8737048850331792,1.436607892527288,0.008975401423710005
Overbot Vol Spike,COR,2026-07-07,Short,2,395.0,306.3894375392369,301.8746032714844,0.5896664682547973,7.656579153878348,1.0,SELL,BUY,-1.0,2026-07-07,306.98,301.0,301.7240863787376,False,0.686457165221118,-19.274896207461303,-4.986073393243664,0.7620253164556962,0.0967906969663207
Monday Dip,SMH,2026-07-07,Long,1,105.0,572.00876726423,607.72998046875,1.114717713878346,32.045009068080354,1.0,BUY,SELL,1.0,2026-07-07,572.01,105.0,605.6188809523809,False,1.0488023542442464,0.021550994330512177,34.73745880926904,1.0,-0.06591535963409956
LT Trend ST OS,ATRO,2026-07-17,Long,1,833.0,64.95999908447266,67.25,0.5657310786430956,4.047858101981027,1.0,BUY,SELL,1.0,2026-07-17,64.52,833.0,67.9516666665,False,0.8477734594551486,-67.73385016531395,-104.3370507806696,1.0,0.282042380812053
Oversold Low Volume,SLV,2026-07-17,Long,1,1640.0,49.70000076293945,54.50178500584194,1.9999990408633472,1.9207136971609933,1.25,BUY,SELL,1.0,2026-07-17,49.705,1886.0,54.711734653,False,2.0853642728327313,1.00588269291799,-38.52160936298841,1.15,0.08536523196938406
Monday Dip,DIA,2026-07-21,Long,1,404.0,517.8964484078543,515.8323364257812,-0.396007411635577,5.212302071707589,1.0,BUY,SELL,1.0,2026-07-21,518.33,323.0,516.40528,False,-0.3692648610001876,8.371395352846164,-11.1071666849861,0.7995049504950495,0.026742550635389384
