month_pnl,year_pnl
25015.28633192607,215668.68872940534
25015.43557255609,215703.86110900965
25024.288619995135,215731.4155048388
25030.50994139057,215735.42312187795
25046.023769208383,215759.5562384811
25047.48246603354,215829.5146597198
25049.614785841546,215835.91821798263
25051.12082770892,215875.16174702987
25056.74571910926,215997.4383967009
25057.054452930228,216032.82359428064
25060.540806906603,216037.8250105892
25063.52329145161,216038.0620970045
25067.718066113288,216249.2405188593
25071.187272889252,216269.43032208516
25075.27835946424,216289.61963767666
25078.90568392614,216312.16654966562
25084.97524186543,216349.75629247935
25086.631110940652,216386.38159114972
25095.156687259678,216402.6540711607
25107.57989684173,216426.1380352548
25113.445701607623,216451.30928688392
25118.43904500345,216471.85334507047
25138.10487556457,216489.1253268122
25143.365407432815,216511.51500236994
25155.80641569409,216543.6703875576
25168.318773439947,216636.5680386168
25170.622056927,216637.03770955978
25179.529574666714,216665.03398471227
25182.007627487183,216674.6781828914
25184.293396132376,216690.82594815321
25184.783081974292,216705.45238271783
25184.783081974292,216745.73278754106
25208.69402945044,216812.66582420896
25219.155366284504,216816.7851287467
25227.249486991335,216870.67053062574
25230.00350155151,216871.45886445045
25232.731571521068,216872.29318174292
25235.308344381177,216889.40616886952
25237.62535762787,217018.41297820638
25240.331228307372,217046.53552705047
25242.564434596476,217060.37662449904
25242.69133489472,217091.06821758416
25244.3046753066,217101.71433132043
25260.66704460558,217109.35601100756
25265.801871418927,217123.26248916553
25275.669259445967,217141.3620080268
25282.136189699155,217153.8747556721
25283.805964742387,217186.27403654368
25317.016484022162,217230.25141372002
25320.290111660965,217342.13870414664
25320.677614212036,217345.34947371486
25325.147340774532,217346.03337851595
25327.3709498814,217352.29278269835
25327.544607741496,217412.6611446653
25330.2031700441,217427.1377461127
25331.0072176627,217490.48016391485
25336.322400263354,217513.47508547988
25337.504329511055,217521.60246141464
25347.395984513394,217528.1550879222
25347.708823450936,217530.19609309942
25358.55593940189,217544.19464213523
25368.17957905361,217560.6797908545
25371.565904157487,217585.8776003291
25376.95723474022,217610.8062252488
25380.504119259967,217614.0226343444
25390.42626188483,217637.75069388316
25392.80161946156,217685.35323866774
25394.000000000004,217708.14347394876
25400.02286618098,217711.87575003077
25417.219911541288,217744.3776869009
25423.260753801886,217745.23151540768
25427.516887937272,217757.76644868506
25429.67754159653,217830.0258986609
25431.349691271782,217878.47825249605
25431.93865622792,217922.56934096117
25444.803403581893,217927.44635816984
25445.907457896632,217940.57573882182
25450.214317015285,217956.0645370993
25462.774930340864,217961.1522395271
25463.52741229535,217965.674587931
25466.88261723521,217994.40389372618
25472.6837540865,218011.67652288493
25482.043281810642,218111.7795336416
25489.684227287773,218116.46430695057
25494.349114997043,218120.2277721167
25520.277573875006,218126.0306976352
25523.23990382466,218149.00583394087
25535.436476809657,218165.41925144196
25537.01007430897,218192.36880732432
25538.921925953466,218204.68300609937
25546.43602631773,218267.53555086686
25552.678774424956,218273.11349890928
25554.532246453422,218287.17081645562
25558.096933228655,218287.24699018677
25564.901092938017,218311.51147035178
25578.020578997464,218313.97178387642
25595.626365934142,218371.29448263987
25597.13132459774,218396.44876478397
25601.009704862307,218520.69878705905
25604.02534437184,218580.80969010078
25620.49873849324,218585.04101722577
