signal_date,ticker,t_clean,tier,close,atr,nearest_type,nearest_level,nearest_date,nearest_source_age_bars,high_age,low_age,high_expired,low_expired,distance_atr,matched_rule,proposed_action,proposed_offset_atr,affected,staged_with,staged_without
2018-02-28,KBH,KBH,Overflow,24.96154022216797,0.9483460017613002,High,21.689342498779297,2017-07-10,161.0,161.0,110.0,False,False,3.450426023109114,default,stage,0.25,False,True,True
2018-03-01,KBH,KBH,Overflow,25.069482803344727,0.8969451359340123,High,21.689342498779297,2017-07-10,162.0,162.0,111.0,False,False,3.768502853907114,default,stage,0.25,False,True,True
2018-09-04,KDP,KDP,Overflow,18.745115280151367,0.30621188027518137,High,16.128387451171875,2018-04-16,98.0,98.0,207.0,False,False,8.545481078748267,above_high_gt5,skip,0.25,True,False,True
2006-08-22,KEX,KEX,Overflow,30.149999618530273,1.0714285714285714,Low,22.375,2005-09-13,237.0,73.0,237.0,False,False,7.256666310628256,default,stage,0.25,False,True,True
2006-08-23,KEX,KEX,Overflow,29.649999618530273,0.9614285060337612,Low,22.375,2005-09-13,238.0,74.0,238.0,False,False,7.566864902458808,default,stage,0.25,False,True,True
2006-08-24,KEX,KEX,Overflow,28.959999084472656,0.9042855671473912,Low,22.375,2005-09-13,239.0,75.0,239.0,False,False,7.28199069376428,default,stage,0.25,False,True,True
2025-12-31,KSS,KSS,Overflow,20.051565170288086,0.9248959677559989,Low,5.866079807281494,2025-04-16,178.0,314.0,178.0,True,False,15.337384806016292,default,stage,0.25,False,True,True
2026-01-28,KSS,KSS,Overflow,16.917585372924805,0.9894557680402484,Low,5.866079807281494,2025-04-16,196.0,332.0,196.0,True,False,11.169277013294206,default,stage,0.25,False,True,True
2026-01-29,KSS,KSS,Overflow,16.603206634521484,0.8919135502406529,Low,5.866079807281494,2025-04-16,197.0,333.0,197.0,True,False,12.0383044122863,default,stage,0.25,False,True,True
2024-12-31,KT,KT,Overflow,15.017837524414062,0.2750872884477888,High,13.957249641418457,2024-02-20,218.0,218.0,178.0,False,False,3.8554594397294504,default,stage,0.25,False,True,True
2026-05-14,KT,KT,Overflow,19.709999084472656,0.4064286095755441,Low,17.670000076293945,2025-11-20,119.0,58.0,119.0,False,False,5.019329250244452,default,stage,0.25,False,True,True
