Date,Entry Date,Exit Date,Exit Type,Time Stop,Strategy,Ticker,Action,Entry Criteria,Price,Exit Price,Shares,PnL,ATR,stop_atr,tgt_atr,T+1 Open,Signal Close,Range %,Equity at Signal,Risk $,Risk bps,Size_Mult,Tranche,Entry Offset ATR,Pivot Rule Version,Pivot Nearest Type,Pivot Level,Pivot Date,Pivot Source Age Bars,Pivot High Source Age Bars,Pivot Low Source Age Bars,Pivot High Expired,Pivot Low Expired,Pivot Max Source Age Bars,Pivot Distance ATR,Pivot Matched Rule,R,Tier,censored
2025-01-07,2025-01-08,2025-01-24,Time,2025-01-24,Oversold Low Volume,INGR,BUY,Limit Order -0.25 ATR (Persistent),127.74669647216797,131.3059539794922,363,1293.0,2.10943603515625,1.25,2.5,127.74669647216797,128.36569213867188,21.276762387481888,1073086.3791446006,958.5889570552147,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,127.6576156616211,2024-10-31,45.0,42.0,45.0,False,False,252.0,0.335670987529296,default,1.3488576,Overflow,False
2025-01-08,2025-01-10,2025-01-27,Target,2025-01-27,Oversold Low Volume,MO,BUY,Limit Order -0.25 ATR (Persistent),46.250911712646484,47.998776708330425,3153,5511.0,0.699145998273577,1.25,2.5,46.250911712646484,46.558349609375,94.73692001391449,1091779.9420882806,2756.25,52.5,0.7,,0.25,olv_close_pivot_40_v2_20260901,High,47.591636657714844,2024-09-04,87.0,87.0,54.0,False,False,252.0,-1.4779274298806997,default,1.999455782312925,Liquid,False
2025-01-08,2025-01-10,2025-01-27,Time,2025-01-27,Oversold Low Volume,LBTYK,BUY,Limit Order -0.25 ATR (Persistent),12.600000381469727,12.1899995803833,3492,-1432.0,0.3221430097307478,1.25,2.5,12.600000381469727,12.850000381469727,36.36377429157257,1091779.9420882806,1406.25,37.5,0.5,,0.75,olv_close_pivot_40_v2_20260901,High,11.324606895446777,2024-01-29,238.0,238.0,154.0,False,False,252.0,4.735143833472895,above_high_4_5,-1.0183111111111112,Overflow,False
2025-01-10,2025-01-13,2025-01-28,Time,2025-01-28,Oversold Low Volume,LBTYK,BUY,Limit Order -0.25 ATR (Persistent),12.037499938692365,12.140000343322754,4542,466.0,0.3450001989092146,1.25,2.5,12.149999618530273,12.210000038146973,4.651265946310392,1064091.2225343331,1958.9552238805966,37.5,0.7,,0.5,olv_close_pivot_40_v2_20260901,High,11.324606895446777,2024-01-29,239.0,239.0,155.0,False,False,252.0,2.5663554557346298,above_high_2_3,0.23788190476190482,Overflow,False
2025-01-13,2025-01-14,2025-01-29,Time,2025-01-29,Oversold Low Volume,LBTYK,BUY,Limit Order -0.25 ATR (Persistent),11.912857191903251,11.949999809265137,6350,236.0,0.3542859213692801,1.25,2.5,12.0,12.09000015258789,21.73921156019032,1085091.1169032883,2812.5,37.5,1.0,,0.5,olv_close_pivot_40_v2_20260901,High,11.324606895446777,2024-01-29,240.0,240.0,156.0,False,False,252.0,2.160382930777898,above_high_2_3,0.08391111111111112,Overflow,False
2025-02-05,2025-02-06,2025-02-11,Target,2025-02-21,Oversold Low Volume,GME,BUY,Limit Order -0.25 ATR (Persistent),24.67000024659293,27.270000832421438,1514,3936.0,1.0400002343314034,1.25,2.5,24.93000030517578,24.93000030517578,3.296779305054265,1160812.667165944,1968.7499999999998,37.5,0.7,,0.25,olv_close_pivot_40_v2_20260901,Low,19.510000228881836,2024-09-19,94.0,182.0,94.0,False,False,252.0,5.211537360641425,default,1.9992380952380955,Overflow,False
2025-02-04,2025-02-05,2025-02-14,Target,2025-02-20,Oversold Low Volume,GME,BUY,Limit Order -0.25 ATR (Persistent),25.631249564034597,28.31875010899135,1046,2811.0,1.075000217982701,1.25,2.5,25.700000762939453,25.899999618530273,22.222269317170348,1161302.2161892315,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,19.510000228881836,2024-09-19,93.0,181.0,93.0,False,False,252.0,5.944184273413112,default,1.9989333333333332,Overflow,False
2025-02-04,2025-02-05,2025-02-20,Time,2025-02-20,Oversold Low Volume,LBTYA,BUY,Limit Order -0.25 ATR (Persistent),11.151607428278242,11.329999923706055,1644,293.0,0.27357135500226704,1.25,2.5,11.3100004196167,11.220000267028809,20.000076293945312,1161302.2161892315,562.5,37.5,0.2,,0.25,olv_close_pivot_40_v2_20260901,High,14.130000114440918,2024-11-29,43.0,43.0,171.0,False,False,252.0,-10.63707802078911,default,0.5208888888888888,Overflow,False
2025-02-10,2025-02-11,2025-02-26,Time,2025-02-26,Oversold Low Volume,LBTYA,BUY,Limit Order -0.25 ATR (Persistent),11.01875012261527,11.699999809265137,2210,1506.0,0.2850001198904855,1.25,2.5,11.029999732971191,11.09000015258789,15.789579354463068,1166467.4685591122,787.5,37.5,0.28,,0.25,olv_close_pivot_40_v2_20260901,Low,8.155590057373047,2024-05-29,175.0,47.0,175.0,False,False,252.0,10.296171441410003,default,1.9123809523809523,Overflow,False
2025-02-24,2025-02-25,2025-02-26,Target,2025-03-11,Oversold Low Volume,GM,BUY,Limit Order -0.25 ATR (Persistent),45.59087017604283,48.52559035164969,958,2811.0,1.1738880702427454,1.25,2.5,46.032135009765625,45.884342193603516,60.91933050594774,1166664.9272019356,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,39.17546844482422,2024-08-05,138.0,59.0,138.0,False,False,252.0,5.715088106647157,default,1.9989333333333332,Overflow,False
2025-02-24,2025-02-25,2025-03-04,Stop,2025-03-11,Oversold Low Volume,AVGO,BUY,Limit Order -0.25 ATR (Persistent),203.46113995143347,187.07676418151857,51,-836.0,8.701521737234932,1.25,2.5,204.71676635742188,205.6365203857422,3.2663150998424797,1166664.9272019356,562.5,52.5,0.1429,,0.25,olv_close_pivot_40_v2_20260901,High,246.58181762695312,2024-12-16,45.0,45.0,57.0,False,False,252.0,-4.705532949024391,default,-1.4862222222222221,Liquid,False
2025-02-25,2025-02-27,2025-03-04,Stop,2025-03-12,Oversold Low Volume,AVGO,BUY,Limit Order -0.25 ATR (Persistent),198.13075011117118,187.07676418151857,72,-796.0,8.70081547328404,1.25,2.5,204.6278076171875,200.3059539794922,20.984417126171913,1166917.3049062835,787.5,52.5,0.2,,0.25,olv_close_pivot_40_v2_20260901,Low,157.48687744140625,2024-11-27,58.0,46.0,58.0,False,False,252.0,4.921271652014967,default,-1.0107936507936508,Liquid,False
2025-02-25,2025-02-27,2025-03-05,Stop,2025-03-12,Oversold Low Volume,FLEX,BUY,Limit Order -0.25 ATR (Persistent),38.24928746904646,35.3593879322052,850,-2456.0,1.322857448032924,1.25,2.5,39.18000030517578,38.58000183105469,38.732555171996935,1166917.3049062835,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,High,33.779998779296875,2024-05-30,184.0,184.0,137.0,False,False,252.0,3.6285111890894743,default,-1.746488888888889,Overflow,False
2025-06-20,2025-06-23,2025-06-30,Target,2025-07-08,Oversold Low Volume,CRH,BUY,Limit Order -0.25 ATR (Persistent),86.88682556152344,91.60299982343402,834,3933.0,1.8864697047642298,1.25,2.5,86.88682556152344,87.52227020263672,48.70118853972277,1166038.3592166733,1968.7499999999998,37.5,0.7,,0.25,olv_close_pivot_40_v2_20260901,Low,79.46762084960938,2025-04-08,50.0,85.0,50.0,False,False,252.0,4.269694515997547,default,1.997714285714286,Overflow,False
2025-06-18,2025-06-20,2025-07-01,Target,2025-07-07,Oversold Low Volume,CRH,BUY,Limit Order -0.25 ATR (Persistent),86.93647003173828,91.83703722272601,573,2808.0,1.9602268763950892,1.25,2.5,86.93647003173828,88.39599609375,5.882256255162126,1165702.6957187485,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,79.46762084960938,2025-04-08,49.0,84.0,49.0,False,False,252.0,4.5547662628522625,default,1.9968,Overflow,False
2025-07-31,2025-08-01,2025-08-05,Target,2025-08-15,Oversold Low Volume,MD,BUY,Limit Order -0.25 ATR (Persistent),12.140000343322754,13.089999777930123,1184,1125.0,0.3799997738429478,1.25,2.5,12.140000343322754,12.25,25.714301284461666,1172520.679254515,562.5,37.5,0.2,,0.25,olv_close_pivot_40_v2_20260901,Low,12.0,2025-04-21,70.0,48.0,70.0,False,False,252.0,0.6578951283884813,default,2.0,Overflow,False
